run_id,timestamp,tag,chip,gpu_cores,memory_gb,bandwidth_gbs,os_version,model_id,model_type,engine_type,mtp_enabled,specprefill,kv_quant,cache_type,prompt_set,concurrency,max_tokens,enable_thinking,extra_body,repetition,prompt_tokens,ttft_ms,tpot_ms,e2e_latency_ms,gen_tps,prompt_tps,throughput_tps,requests_per_s,metal_active_gb,metal_peak_gb,metal_cache_gb,cache_hits,cache_misses,cache_hit_rate,tokens_saved,validated
3683823c,2026-06-18T12:55:39.981786+00:00,,Unknown,16,16.0,200,macOS-26.5.1-arm64-arm-64bit,qwen35-optiq,llm,,False,False,,,short,2,1024,False,,0,26,273.62233350004317,33.71884295581086,11470.760749999954,29.855579198180315,100.85214651179501,44.677340539546435,0.1343679414723201,3.27,3.91,0.0,0,0,0.0,0,True
3683823c,2026-06-18T12:55:39.981786+00:00,,Unknown,16,16.0,200,macOS-26.5.1-arm64-arm-64bit,qwen35-optiq,llm,,False,False,,,short,2,1024,False,,1,26,273.10904150044735,33.634727486153054,11441.393000000062,29.930286416707496,101.03585120818192,44.810150050292805,0.13476736857230917,3.27,3.91,0.0,0,0,0.0,0,True
3683823c,2026-06-18T12:55:39.981786+00:00,,Unknown,16,16.0,200,macOS-26.5.1-arm64-arm-64bit,qwen35-optiq,llm,,False,False,,,short,2,1024,False,,2,26,273.68377050015624,33.68483511146181,11458.356541500052,29.885755860882167,100.81709365252127,44.739672836768776,0.13455540702787602,3.27,3.91,0.0,0,0,0.0,0,True
